sn,NP,bacteria,strain,NP_synthesis,drug,drug_dose_µg_disk,NP_concentration_µg_ml,NP_size_min_nm,NP_size_max_nm,NP_size_avg_nm,shape,method,ZOI_drug_mm_or_MIC _µg_ml,error_ZOI_drug_mm_or_MIC_µg_ml,ZOI_NP_mm_or_MIC_np_µg_ml,error_ZOI_NP_mm_or_MIC_np_µg_ml,ZOI_drug_NP_mm_or_MIC_drug_NP_µg_ml,error_ZOI_drug_NP_mm_or_MIC_drug_NP_µg_ml,fold_increase_in_antibacterial_activity,zeta_potential_mV,MDR,FIC,effect,reference,doi,article_list,time_hr,coating_with_antimicrobial_peptide_polymers,combined_MIC,peptide_MIC,viability_%,viability_error,journal_name,publisher,year,title,journal_is_oa,is_oa,oa_status,pdf,access
572,Ag,Acinetobacter baumannii,,green_synthesis using Acinetobacter calcoaceticus,Erythromycin,,3.0,8,12.0,10.0,spherical,viability (%),,,,,,,,,,,,https://www.ingentaconnect.com/content/asp/jnn/2018/00000018/00000006/art00007;jsessionid=1toednqh7tf1q.x-ic-live-02,10.1166/jnn.2018.15013,20,24.0,,,,55.5773,,Journal of Nanoscience and Nanotechnology,American Scientific Publishers,2018,Antibacterial Activities of Bacteriagenic Silver Nanoparticles Against Nosocomial <i>Acinetobacter baumannii</i>,False,False,closed,20_singh2018.pdf,0
573,Ag,Acinetobacter baumannii,,green_synthesis using Acinetobacter calcoaceticus,Erythromycin,,10.0,8,12.0,10.0,spherical,viability (%),,,,,,,,,,,,https://www.ingentaconnect.com/content/asp/jnn/2018/00000018/00000006/art00007;jsessionid=1toednqh7tf1q.x-ic-live-02,10.1166/jnn.2018.15013,20,6.0,,,,64.57926,,Journal of Nanoscience and Nanotechnology,American Scientific Publishers,2018,Antibacterial Activities of Bacteriagenic Silver Nanoparticles Against Nosocomial <i>Acinetobacter baumannii</i>,False,False,closed,20_singh2018.pdf,0
574,Ag,Acinetobacter baumannii,,green_synthesis using Acinetobacter calcoaceticus,Erythromycin,,10.0,8,12.0,10.0,spherical,viability (%),,,,,,,,,,,,https://www.ingentaconnect.com/content/asp/jnn/2018/00000018/00000006/art00007;jsessionid=1toednqh7tf1q.x-ic-live-02,10.1166/jnn.2018.15013,20,12.0,,,,47.06458,,Journal of Nanoscience and Nanotechnology,American Scientific Publishers,2018,Antibacterial Activities of Bacteriagenic Silver Nanoparticles Against Nosocomial <i>Acinetobacter baumannii</i>,False,False,closed,20_singh2018.pdf,0
575,Ag,Acinetobacter baumannii,,green_synthesis using Acinetobacter calcoaceticus,Erythromycin,,10.0,8,12.0,10.0,spherical,viability (%),,,,,,,,,,,,https://www.ingentaconnect.com/content/asp/jnn/2018/00000018/00000006/art00007;jsessionid=1toednqh7tf1q.x-ic-live-02,10.1166/jnn.2018.15013,20,18.0,,,,38.35616,,Journal of Nanoscience and Nanotechnology,American Scientific Publishers,2018,Antibacterial Activities of Bacteriagenic Silver Nanoparticles Against Nosocomial <i>Acinetobacter baumannii</i>,False,False,closed,20_singh2018.pdf,0
576,Ag,Acinetobacter baumannii,,green_synthesis using Acinetobacter calcoaceticus,Erythromycin,,10.0,8,12.0,10.0,spherical,viability (%),,,,,,,,,,,,https://www.ingentaconnect.com/content/asp/jnn/2018/00000018/00000006/art00007;jsessionid=1toednqh7tf1q.x-ic-live-02,10.1166/jnn.2018.15013,20,24.0,,,,28.66928,,Journal of Nanoscience and Nanotechnology,American Scientific Publishers,2018,Antibacterial Activities of Bacteriagenic Silver Nanoparticles Against Nosocomial <i>Acinetobacter baumannii</i>,False,False,closed,20_singh2018.pdf,0
577,Ag,Acinetobacter baumannii,,green_synthesis using Acinetobacter calcoaceticus,Erythromycin,,30.0,8,12.0,10.0,spherical,viability (%),,,,,,,,,,,,https://www.ingentaconnect.com/content/asp/jnn/2018/00000018/00000006/art00007;jsessionid=1toednqh7tf1q.x-ic-live-02,10.1166/jnn.2018.15013,20,6.0,,,,50.88063,,Journal of Nanoscience and Nanotechnology,American Scientific Publishers,2018,Antibacterial Activities of Bacteriagenic Silver Nanoparticles Against Nosocomial <i>Acinetobacter baumannii</i>,False,False,closed,20_singh2018.pdf,0
578,Ag,Acinetobacter baumannii,,green_synthesis using Acinetobacter calcoaceticus,Erythromycin,,30.0,8,12.0,10.0,spherical,viability (%),,,,,,,,,,,,https://www.ingentaconnect.com/content/asp/jnn/2018/00000018/00000006/art00007;jsessionid=1toednqh7tf1q.x-ic-live-02,10.1166/jnn.2018.15013,20,12.0,,,,30.23483,,Journal of Nanoscience and Nanotechnology,American Scientific Publishers,2018,Antibacterial Activities of Bacteriagenic Silver Nanoparticles Against Nosocomial <i>Acinetobacter baumannii</i>,False,False,closed,20_singh2018.pdf,0
579,Ag,Acinetobacter baumannii,,green_synthesis using Acinetobacter calcoaceticus,Erythromycin,,30.0,8,12.0,10.0,spherical,viability (%),,,,,,,,,,,,https://www.ingentaconnect.com/content/asp/jnn/2018/00000018/00000006/art00007;jsessionid=1toednqh7tf1q.x-ic-live-02,10.1166/jnn.2018.15013,20,18.0,,,,14.97065,,Journal of Nanoscience and Nanotechnology,American Scientific Publishers,2018,Antibacterial Activities of Bacteriagenic Silver Nanoparticles Against Nosocomial <i>Acinetobacter baumannii</i>,False,False,closed,20_singh2018.pdf,0
580,Ag,Acinetobacter baumannii,,green_synthesis using Acinetobacter calcoaceticus,Erythromycin,,30.0,8,12.0,10.0,spherical,viability (%),,,,,,,,,,,,https://www.ingentaconnect.com/content/asp/jnn/2018/00000018/00000006/art00007;jsessionid=1toednqh7tf1q.x-ic-live-02,10.1166/jnn.2018.15013,20,24.0,,,,4.990215,,Journal of Nanoscience and Nanotechnology,American Scientific Publishers,2018,Antibacterial Activities of Bacteriagenic Silver Nanoparticles Against Nosocomial <i>Acinetobacter baumannii</i>,False,False,closed,20_singh2018.pdf,0
581,Ag,Streptococcus pneumoniae,K-13,purchased from East Nano Chemicals Co.,,,,10,50.0,30.0,spherical,MIC,,,4000.0,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S0946672X21001309?via%3Dihub,10.1016/j.jtemb.2021.126840,21,24.0,,,,,,Journal of Trace Elements in Medicine and Biology,Elsevier BV,2021,"Antibacterial and antibiofilm efficacy of Ag NPs, Ni NPs and Al2O3 NPs singly and in combination against multidrug-resistant Klebsiella pneumoniae isolates",False,False,closed,21_S0946672X21001309.pdf,0
582,Ag,Streptococcus pneumoniae,K-33,purchased from East Nano Chemicals Co.,,,,10,50.0,30.0,spherical,MIC,,,4000.0,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S0946672X21001309?via%3Dihub,10.1016/j.jtemb.2021.126840,21,24.0,,,,,,Journal of Trace Elements in Medicine and Biology,Elsevier BV,2021,"Antibacterial and antibiofilm efficacy of Ag NPs, Ni NPs and Al2O3 NPs singly and in combination against multidrug-resistant Klebsiella pneumoniae isolates",False,False,closed,21_S0946672X21001309.pdf,0
583,Ag,Streptococcus pneumoniae,K-36,purchased from East Nano Chemicals Co.,,,,10,50.0,30.0,spherical,MIC,,,4000.0,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S0946672X21001309?via%3Dihub,10.1016/j.jtemb.2021.126840,21,24.0,,,,,,Journal of Trace Elements in Medicine and Biology,Elsevier BV,2021,"Antibacterial and antibiofilm efficacy of Ag NPs, Ni NPs and Al2O3 NPs singly and in combination against multidrug-resistant Klebsiella pneumoniae isolates",False,False,closed,21_S0946672X21001309.pdf,0
584,Ag,Pseudomonas aeruginosa,H039,green_synthesis from Citrus latifolia tan,,,,5.34,70.0,26.06,spherical,MIC,,,128.0,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
585,Ag,Pseudomonas aeruginosa,H278,green_synthesis from Citrus latifolia tan,,,,5.34,70.0,26.06,spherical,MIC,,,128.0,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
586,Ag,Pseudomonas aeruginosa,RME 124,green_synthesis from Citrus latifolia tan,,,,5.34,70.0,26.06,spherical,MIC,,,128.0,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
587,Ag,Pseudomonas aeruginosa,INP-64,green_synthesis from Citrus latifolia tan,,,,5.34,70.0,26.06,spherical,MIC,,,128.0,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
588,Ag,Pseudomonas aeruginosa,INP-62,green_synthesis from Citrus latifolia tan,,,,5.34,70.0,26.06,spherical,MIC,,,128.0,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
589,Ag,Pseudomonas aeruginosa,RME 27,green_synthesis from Citrus latifolia tan,,,,5.34,70.0,26.06,spherical,MIC,,,128.0,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
590,Ag,Pseudomonas aeruginosa,Pae 27853,green_synthesis from Citrus latifolia tan,,,,5.34,70.0,26.06,spherical,MIC,,,8.0,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
591,Ag,Pseudomonas aeruginosa,H039,green_synthesis from fungus Aspergillus flavus,,,,5.34,70.0,26.06,spherical,MIC,,,64.0,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
592,Ag,Pseudomonas aeruginosa,H278,green_synthesis from fungus Aspergillus flavus,,,,5.34,70.0,26.06,spherical,MIC,,,128.0,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
593,Ag,Pseudomonas aeruginosa,RME 124,green_synthesis from fungus Aspergillus flavus,,,,5.34,70.0,26.06,spherical,MIC,,,64.0,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
594,Ag,Pseudomonas aeruginosa,INP-64,green_synthesis from fungus Aspergillus flavus,,,,5.34,70.0,26.06,spherical,MIC,,,64.0,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
595,Ag,Pseudomonas aeruginosa,INP-62,green_synthesis from fungus Aspergillus flavus,,,,5.34,70.0,26.06,spherical,MIC,,,64.0,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
596,Ag,Pseudomonas aeruginosa,RME 27,green_synthesis from fungus Aspergillus flavus,,,,5.34,70.0,26.06,spherical,MIC,,,64.0,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
597,Ag,Pseudomonas aeruginosa,Pae 27853,green_synthesis from fungus Aspergillus flavus,,,,5.34,70.0,26.06,spherical,MIC,,,4.0,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
598,Ag,Pseudomonas aeruginosa,H039,green_synthesis from fungus Aspergillus flavus,Amikacin,,,5.34,70.0,26.06,spherical,MIC,64.0,,,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
599,Ag,Pseudomonas aeruginosa,H278,green_synthesis from fungus Aspergillus flavus,Amikacin,,,5.34,70.0,26.06,spherical,MIC,64.0,,,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
600,Ag,Pseudomonas aeruginosa,RME 124,green_synthesis from fungus Aspergillus flavus,Amikacin,,,5.34,70.0,26.06,spherical,MIC,64.0,,,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
601,Ag,Pseudomonas aeruginosa,INP-64,green_synthesis from fungus Aspergillus flavus,Amikacin,,,5.34,70.0,26.06,spherical,MIC,2.0,,,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
602,Ag,Pseudomonas aeruginosa,INP-62,green_synthesis from fungus Aspergillus flavus,Amikacin,,,5.34,70.0,26.06,spherical,MIC,64.0,,,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
603,Ag,Pseudomonas aeruginosa,RME 27,green_synthesis from fungus Aspergillus flavus,Amikacin,,,5.34,70.0,26.06,spherical,MIC,4.0,,,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
604,Ag,Pseudomonas aeruginosa,H039,green_synthesis from fungus Aspergillus flavus,Gentamicin,,,5.34,70.0,26.06,spherical,MIC,64.0,,,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
605,Ag,Pseudomonas aeruginosa,H278,green_synthesis from fungus Aspergillus flavus,Gentamicin,,,5.34,70.0,26.06,spherical,MIC,32.0,,,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
606,Ag,Pseudomonas aeruginosa,RME 124,green_synthesis from fungus Aspergillus flavus,Gentamicin,,,5.34,70.0,26.06,spherical,MIC,2.0,,,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
607,Ag,Pseudomonas aeruginosa,INP-64,green_synthesis from fungus Aspergillus flavus,Gentamicin,,,5.34,70.0,26.06,spherical,MIC,16.0,,,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
608,Ag,Pseudomonas aeruginosa,INP-62,green_synthesis from fungus Aspergillus flavus,Gentamicin,,,5.34,70.0,26.06,spherical,MIC,16.0,,,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
609,Ag,Pseudomonas aeruginosa,RME 27,green_synthesis from fungus Aspergillus flavus,Gentamicin,,,5.34,70.0,26.06,spherical,MIC,0.5,,,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
610,Ag,Pseudomonas aeruginosa,H039,green_synthesis from fungus Aspergillus flavus,Ceftazidime,,,5.34,70.0,26.06,spherical,MIC,64.0,,,,32.0,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
611,Ag,Pseudomonas aeruginosa,H278,green_synthesis from fungus Aspergillus flavus,Ceftazidime,,,5.34,70.0,26.06,spherical,MIC,64.0,,,,32.0,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
612,Ag,Pseudomonas aeruginosa,RME 124,green_synthesis from fungus Aspergillus flavus,Ceftazidime,,,5.34,70.0,26.06,spherical,MIC,64.0,,,,32.0,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
613,Ag,Pseudomonas aeruginosa,INP-64,green_synthesis from fungus Aspergillus flavus,Ceftazidime,,,5.34,70.0,26.06,spherical,MIC,64.0,,,,64.0,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
614,Ag,Pseudomonas aeruginosa,INP-62,green_synthesis from fungus Aspergillus flavus,Ceftazidime,,,5.34,70.0,26.06,spherical,MIC,64.0,,,,32.0,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
615,Ag,Pseudomonas aeruginosa,RME 27,green_synthesis from fungus Aspergillus flavus,Ceftazidime,,,5.34,70.0,26.06,spherical,MIC,64.0,,,,32.0,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
616,Ag,Pseudomonas aeruginosa,H039,green_synthesis from fungus Aspergillus flavus,Ciprofloxacin,,,5.34,70.0,26.06,spherical,MIC,16.0,,,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
617,Ag,Pseudomonas aeruginosa,H278,green_synthesis from fungus Aspergillus flavus,Ciprofloxacin,,,5.34,70.0,26.06,spherical,MIC,8.0,,,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
618,Ag,Pseudomonas aeruginosa,RME 124,green_synthesis from fungus Aspergillus flavus,Ciprofloxacin,,,5.34,70.0,26.06,spherical,MIC,16.0,,,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
619,Ag,Pseudomonas aeruginosa,INP-64,green_synthesis from fungus Aspergillus flavus,Ciprofloxacin,,,5.34,70.0,26.06,spherical,MIC,0.062,,,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
620,Ag,Pseudomonas aeruginosa,INP-62,green_synthesis from fungus Aspergillus flavus,Ciprofloxacin,,,5.34,70.0,26.06,spherical,MIC,0.125,,,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
621,Ag,Pseudomonas aeruginosa,RME 27,green_synthesis from fungus Aspergillus flavus,Ciprofloxacin,,,5.34,70.0,26.06,spherical,MIC,0.25,,,,,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
622,Ag,Pseudomonas aeruginosa,H039,green_synthesis from fungus Aspergillus flavus,Levofloxacin,,,5.34,70.0,26.06,spherical,MIC,16.0,,,,0.125,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
623,Ag,Pseudomonas aeruginosa,H278,green_synthesis from fungus Aspergillus flavus,Levofloxacin,,,5.34,70.0,26.06,spherical,MIC,4.0,,,,4.0,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
624,Ag,Pseudomonas aeruginosa,RME 124,green_synthesis from fungus Aspergillus flavus,Levofloxacin,,,5.34,70.0,26.06,spherical,MIC,8.0,,,,0.8,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
625,Ag,Pseudomonas aeruginosa,INP-64,green_synthesis from fungus Aspergillus flavus,Levofloxacin,,,5.34,70.0,26.06,spherical,MIC,0.5,,,,0.125,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
626,Ag,Pseudomonas aeruginosa,INP-62,green_synthesis from fungus Aspergillus flavus,Levofloxacin,,,5.34,70.0,26.06,spherical,MIC,0.5,,,,0.5,,,,,,,https://academic.oup.com/lambio/article/75/3/680/6989369,10.1111/lam.13759,22,24.0,,,,,,Letters in Applied Microbiology,Oxford University Press (OUP),2022,Biologically synthesized silver nanoparticles as potent antibacterial effective against multidrug-resistant Pseudomonas aeruginosa,False,True,hybrid,22_lambio0680.pdf,1
